full_name	name	state	country	latitude	longitude	timezone
Fukuoka, Japan	Fukuoka	Fukuoka	Japan	33.6	130.41667	Asia/Tokyo
Manila, Metro Manila, Philippines	Manila	Metro Manila	Philippines	14.6042	120.9822	Asia/Manila
Patna, Bihar, India	Patna	Bihar	India	25.59408	85.13563	Asia/Kolkata
Bhopal, Madhya Pradesh, India	Bhopal	Madhya Pradesh	India	23.25469	77.40289	Asia/Kolkata
Wuhu, Anhui, China	Wuhu	Anhui	China	31.35259	118.42947	Asia/Shanghai
Santiago de Queretaro, Queretaro, Mexico	Santiago de Queretaro	Queretaro	Mexico	20.58806	-100.38806	America/Mexico_City
Dazhou, Sichuan, China	Dazhou	Sichuan	China	31.2106	107.46308	Asia/Shanghai
Yangzhou, Jiangsu, China	Yangzhou	Jiangsu	China	32.39722	119.43583	Asia/Shanghai
Mecca, Mecca Region, Saudi Arabia	Mecca	Mecca Region	Saudi Arabia	21.42664	39.82563	Asia/Riyadh
Philadelphia, Pennsylvania, United States	Philadelphia	Pennsylvania	United States	39.95238	-75.16362	America/New_York
Phnom Penh, Cambodia	Phnom Penh	Phnom Penh	Cambodia	11.56245	104.91601	Asia/Phnom_Penh
Guilin, Guangxi, China	Guilin	Guangxi	China	25.28022	110.29639	Asia/Shanghai
Damascus, Dimashq, Syria	Damascus	Dimashq	Syria	33.5102	36.29128	Asia/Damascus
Zhaoqing, Guangdong, China	Zhaoqing	Guangdong	China	23.04893	112.46091	Asia/Shanghai
Onitsha, Anambra, Nigeria	Onitsha	Anambra	Nigeria	6.14978	6.78569	Africa/Lagos
